sentence_id,word,pos_tag,chunk_tag,ne_label,nested_ne_label
vn-07,đã,R,B-VP,O,O
vn-07,mời,V,B-VP,O,O
vn-07,bà,N,B-NP,O,O
vn-07,Trang,Np,I-NP,B-PER,O
vn-07,đến,V,B-VP,O,O
vn-07,dự,V,B-VP,O,O
vn-07,hội_thảo,N,B-NP,O,O
vn-07,.,CH,O,O,O

vn-08,Ông,N,B-NP,O,O
vn-08,Kimura,Np,I-NP,B-PER,O
vn-08,là,V,B-VP,O,O
vn-08,CEO,N,B-NP,O,O
vn-08,của,E,B-PP,O,O
vn-08,công_ty,N,B-NP,B-ORG,O
vn-08,Toyota,Np,I-NP,I-ORG,O
vn-08,.,CH,O,O,O

vn-09,Chiếc,N,B-NP,O,O
vn-09,xe,N,I-NP,O,O
vn-09,của,E,B-PP,O,O
vn-09,anh,N,B-NP,O,O
vn-09,Tuấn,Np,I-NP,B-PER,O
vn-09,bị,V,B-VP,O,O
vn-09,hỏng,V,I-VP,O,O
vn-09,khi,C,B-CC,O,O
vn-09,đi,V,B-VP,O,O
vn-09,đến,E,B-PP,O,O
vn-09,trung_tâm,N,B-NP,B-LOC,O
vn-09,thành_phố,N,I-NP,I-LOC,O
vn-09,.,CH,O,O,O

vn-10,Bộ,N,B-NP,O,O
vn-10,trưởng,N,I-NP,O,O
vn-10,Nguyễn,Np,B-NP,B-PER,O
vn-10,Xuân,Np,I-NP,I-PER,O
vn-10,Phúc,Np,I-NP,I-PER,O
vn-10,đã,R,B-VP,O,O
vn-10,thông_báo,V,B-VP,O,O
vn-10,về,E,B-PP,O,O
vn-10,kế_hoạch,N,B-NP,O,O
vn-10,phòng_chống,V,B-VP,O,O
vn-10,dịch_bệnh,N,I-NP,O,O
vn-10,.,CH,O,O,O

vn-11,Tôi,P,N,B-NP,O
vn-11,rất,R,B-ADVP,O,O
vn-11,muốn,V,B-VP,O,O
vn-11,đi,V,B-VP,O,O
vn-11,du_lịch,V,I-VP,O,O
vn-11,ở,E,B-PP,O,O
vn-11,nước,N,B-NP,B-LOC,O
vn-11,Pháp,Np,I-NP,I-LOC,O
vn-11,và,C,B-CC,O,O
vn-11,thăm,V,B-VP,O,O
vn-11,Tháp_Eiffel,Np,B-NP,B-LOC,O
vn-11,.,CH,O,O,O

vn-12,Hai,CD,B-NP,O,O
vn-12,đứa,N,B-NP,O,O
vn-12,trẻ,N,I-NP,O,O
vn-12,nhỏ,A,B-AP,O,O
vn-12,đang,R,B-VP,O,O
vn-12,chơi,V,B-VP,O,O
vn-12,bóng_đá,N,B-NP,O,O
vn-12,trên,E,B-PP,O,O
vn-12,sân,N,B-NP,B-LOC,O
vn-12,trường_học,N,I-NP,I-LOC,O
vn-12,của,E,B-PP,O,O
vn-12,họ,PN,B-NP,O,O
vn-12,.,CH,O,O,O

vn-13,Tôi,P,N,B-NP,O
vn-13,cảm_thấy,V,B-VP,O,O
vn-13,vui,A,B-AP,O,O
vn-13,khi,C,B-CC,O,O
vn-13,nhìn,V,B-VP,O,O
vn-13,thấy,V,B-VP,O,O
vn-13,cảnh,N,B-NP,O,O
vn-13,biển,N,I-NP,O,O
vn-13,đẹp,A,B-AP,O,O
vn-13,ở,E,B-PP,O,O
vn-13,thành_phố,N,B-NP,B-LOC,O
vn-13,Nha_Trang,Np,I-NP,I-LOC,O
vn-13,.,CH,O,O,O

vn-14,Hai,CD,B-NP,O,O
vn-14,cô,N,B-NP,O,O
vn-14,gái,N,I-NP,O,O
vn-14,trẻ,N,I-NP,O,O
vn-14,đang,R,B-VP,O,O
vn-14,ngồi,V,B-VP,O,O
vn-14,uống,V,I-VP,O,O
vn-14,trà,N,B-NP,O,O
vn-14,tại,E,B-PP,O,O
vn-14,quán,N,B-NP,B-LOC,O
vn-14,trà,Np,I-NP,I-LOC,O
vn-14,cách,E,B-PP,O,O
vn-14,ngã,N,B-NP,B-LOC,O
vn-14,Hà_Nội,Np,I-NP,I-LOC,O
vn-14,.,CH,O,O,O

vn-15,Tôi,P,N,B-NP,O
vn-15,đã,R,B-VP,O,O
vn-15,hoàn_tất,V,B-VP,O,O
vn-15,công_việc,N,B-NP,O,O
vn-15,và,C,B-CC,O,O
vn-15,sẽ,R,B-VP,O,O
vn-15,đi,V,B-VP,O,O
vn-15,du_lịch,V,I-VP,O,O
vn-15,ở,E,B-PP,O,O
vn-15,đất_Nước,N,B-NP,B-LOC,O
vn-15,Úc,Np,I-NP,I-LOC,O
vn-15,.,CH,O,O,O

vn-16,Anh,N,B-NP,O,O
vn-16,Tuấn,Np,I-NP,B-PER,O
vn-16,là,V,B-VP,O,O
vn-16,người,N,B-NP,O,O
vn-16,hướng_dẫn_viên,N,I-NP,O,O
vn-16,cho,E,B-PP,O,O
vn-16,đoàn_khách,N,B-NP,O,O
vn-16,đến,V,B-VP,O,O
vn-16,thăm,V,B-VP,O,O
vn-16,đền,N,B-NP,B-LOC,O
vn-16,Phật,Np,I-NP,I-LOC,O
vn-16,Bà,Np,I-NP,I-LOC,O
vn-16,.,CH,O,O,O

vn-17,Ngôi_nhà,N,B-NP,O,O
vn-17,của,E,B-PP,O,O
vn-17,anh,N,B-NP,O,O
vn-17,Tùng,Np,I-NP,B-PER,O
vn-17,rất,R,B-ADVP,O,O
vn-17,đẹp,A,B-AP,O,O
vn-17,và,C,B-CC,O,O
vn-17,sang_trọng,A,B-AP,O,O
vn-17,.,CH,O,O,O

vn-18,Bà,N,B-NP,O,O
vn-18,Hương,Np,I-NP,B-PER,O
vn-18,là,V,B-VP,O,O
vn-18,chủ_nhà,N,B-NP,O,O
vn-18,của,E,B-PP,O,O
vn-18,quán,N,B-NP,O,O
vn-18,ăn,N,I-NP,O,O
vn-18,ở,E,B-PP,O,O
vn-18,trung_tâm,N,B-NP,B-LOC,O
vn-18,thành_phố,N,I-NP,I-LOC,O
vn-18,.,CH,O,O,O

vn-19,Tôi,P,N,B-NP,O
vn-19,đã,R,B-VP,O,O
vn-19,đăng_ký,V,B-VP,O,O
vn-19,học,V,I-VP,O,O
vn-19,khóa_học,N,B-NP,O,O
vn-19,tin_học,N,I-NP,O,O
vn-19,tại,E,B-PP,O,O
vn-19,trung_tâm,N,B-NP,B-ORG,O
vn-19,đào_tạo,V,I-VP,I-ORG,O
vn-19,CNTT,Np,I-NP,I-ORG,O
vn-19,.,CH,O,O,O

vn-20,Chiếc,N,B-NP,O,O
vn-20,xe,N,I-NP,O,O
vn-20,của,E,B-PP,O,O
vn-20,anh,N,B-NP,O,O
vn-20,Hải,Np,I-NP,B-PER,O
vn-20,bị,V,B-VP,O,O
vn-20,mất,V,I-VP,O,O
vn-20,khi,C,B-CC,O,O
vn-20,đi,V,B-VP,O,O
vn-20,đến,E,B-PP,O,O
vn-20,sân_bay,N,B-NP,B-LOC,O
vn-20,Tân_Sơn_Nhất,Np,I-NP,I-LOC,O
vn-20,.,CH,O,O,O

vn-21,Bà,N,B-NP,O,O
vn-21,Maria,Np,I-NP,B-PER,O
vn-21,Fernandez,Np,I-NP,I-PER,O
vn-21,là,V,B-VP,O,O
vn-21,giáo_viên,N,B-NP,O,O
vn-21,tại,E,B-PP,O,O
vn-21,trường,N,B-NP,ORG,O
vn-21,quốc_tế,A,I-AP,ORG,O
vn-21,.,CH,O,O,O

vn-22,Anh,N,B-NP,O,O
vn-22,Thanh,Np,I-NP,B-PER,O
vn-22,là,V,B-VP,O,O
vn-22,cán_bộ,N,B-NP,O,O
vn-22,Uỷ ban,N,B-NP,B-ORG,O
vn-22,nhân_dân,N,I-NP,I-ORG,O
vn-22,Thành_phố,N,I-NP,I-ORG,B-LOC
vn-22,Hà_Nội,Np,I-NP,I-ORG,I-LOC
vn-22,.,.,O,O,O

vn-23,Ông,N,B-NP,O,O
vn-23,Kimura,Np,I-NP,B-PER,O
vn-23,là,V,B-VP,O,O
vn-23,CEO,N,B-NP,O,O
vn-23,của,E,B-PP,O,O
vn-23,công_ty,N,B-NP,ORG,O
vn-23,Toyota,Np,I-NP,ORG,O
vn-23,.,CH,O,O,O

vn-24,Tôi,PN,B-NP,O,O
vn-24,đã,R,B-VP,O,O
vn-24,đến,V,B-VP,O,O
vn-24,thăm,V,B-VP,O,O
vn-24,bà,N,B-NP,O,O
vn-24,Ngọc,Np,I-NP,B-PER,O
vn-24,tại,E,B-PP,O,O
vn-24,bệnh_viện,N,B-NP,LOC,O
vn-24,.,CH,O,O,O

vn-25,Các,L,B-NP,O,O
vn-25,nhà,N,I-NP,O,O
vn-25,khoa_học,N,I-NP,O,O
vn-25,đang,R,B-VP,O,O
vn-25,nghiên_cứu,V,B-VP,O,O
vn-25,về,E,B-PP,O,O
vn-25,vaccine,N,B-NP,O,O
vn-25,COVID-19,N,I-NP,MISC,O
vn-25,.,CH,O,O,O

vn-26,Tôi,P,N,B-NP,O
vn-26,muốn,V,B-VP,O,O
vn-26,mua,V,B-VP,O,O
vn-26,một,M,B-NP,O,O
vn-26,chiếc,N,I-NP,O,O
vn-26,xe,N,I-NP,O,O
vn-26,hơi,N,I-NP,O,O
vn-26,của,E,B-PP,O,O
vn-26,hãng,N,B-NP,ORG,O
vn-26,BMW,Np,I-NP,ORG,O
vn-26,.,CH,O,O,O

vn-27,Ông,N,B-NP,O,O
vn-27,Dũng,Np,I-NP,B-PER,O
vn-27,là,V,B-VP,O,O
vn-27,tổng_giám_đốc,N,B-NP,O,O
vn-27,của,E,B-PP,O,O
vn-27,công_ty,N,B-NP,ORG,O
vn-27,VinGroup,Np,I-NP,ORG,O
vn-27,.,CH,O,O,O

vn-28,Cô,N,B-NP,O,O
vn-28,Nguyệt,Np,I-NP,B-PER,O
vn-28,là,V,B-VP,O,O
vn-28,giáo_viên,N,B-NP,O,O
vn-28,dạy,V,B-VP,O,O
vn-28,môn,V,B-NP,O,O
vn-28,ngữ_văn,N,I-NP,O,O
vn-28,tại,E,B-PP,O,O
vn-28,trường,N,B-NP,ORG,O
vn-28,Trung_học,Np,I-NP,ORG,O
vn-28,Phổ_thông,Np,I-NP,ORG,O
vn-28,.,CH,O,O,O

vn-29,Anh,N,B-NP,O,O
vn-29,Hòa,Np,I-NP,B-PER,O
vn-29,là,V,B-VP,O,O
vn-29,kỹ_sư,N,B-NP,O,O
vn-29,làm,V,B-VP,O,O
vn-29,viên_chức,N,B-NP,O,O
vn-29,tại,E,B-PP,O,O
vn-29,công_ty,N,B-NP,ORG,O
vn-29,Viettel,Np,I-NP,ORG,O
vn-29,.,CH,O,O,O

vn-30,Cô,N,B-NP,O,O
vn-30,Thảo,Np,I-NP,B-PER,O
vn-30,là,V,B-VP,O,O
vn-30,giáo_viên,N,B-NP,O,O
vn-30,dạy,V,B-VP,O,O
vn-30,môn,V,B-NP,O,O
vn-30,toán,N,I-NP,O,O
vn-30,tại,E,B-PP,O,O
vn-30,trường,N,B-NP,ORG,O
vn-30,Trung_học,Np,I-NP,ORG,O
vn-30,Phổ_thông,Np,I-NP,ORG,O
vn-30,.,CH,O,O,O

vn-31,Ông,N,B-NP,O,O
vn-31,Hùng,Np,I-NP,B-PER,O
vn-31,là,V,B-VP,O,O
vn-31,giám_đốc,N,B-NP,O,O
vn-31,của,E,B-PP,O,O
vn-31,công_ty,N,B-NP,ORG,O
vn-31,Samsung,Np,I-NP,ORG,O
vn-31,.,CH,O,O,O

vn-32,Cô,N,B-NP,O,O
vn-32,Ngọc,Np,I-NP,B-PER,O
vn-32,là,V,B-VP,O,O
vn-32,bác_sĩ,N,B-NP,O,O
vn-32,chuyên_khoa,N,I-NP,O,O
vn-32,gây_mê,N,B-NP,O,O
vn-32,tại,E,B-PP,O,O
vn-32,bệnh_viện,N,B-NP,ORG,O
vn-32,Đa_khoa,Np,I-NP,ORG,O
vn-32,Bạch_Mai,Np,I-NP,ORG,O
vn-32,.,CH,O,O,O

vn-33,Trường,N,B-NP,O,O
vn-33,Đại_học,Np,I-NP,ORG,O
vn-33,Bách_khoa,Np,I-NP,ORG,O
vn-33,là,V,B-VP,O,O
vn-33,trường,N,B-NP,O,O
vn-33,đào_tạo,V,B-VP,O,O
vn-33,các,L,B-NP,O,O
vn-33,kỹ_sư,N,B-NP,O,O
vn-33,cơ_khí,N,I-NP,O,O
vn-33,.,CH,O,O,O

vn-34,Anh,N,B-NP,O,O
vn-34,Hòa,Np,I-NP,B-PER,O
vn-34,là,V,B-VP,O,O
vn-34,kỹ_sư,N,B-NP,O,O
vn-34,làm,V,B-VP,O,O
vn-34,viên_chức,N,B-NP,O,O
vn-34,tại,E,B-PP,O,O
vn-34,công_ty,N,B-NP,ORG,O
vn-34,Vingroup,Np,I-NP,ORG,O
vn-34,.,CH,O,O,O

vn-35,Cô,N,B-NP,O,O
vn-35,Nguyên,Np,I-NP,B-PER,O
vn-35,là,V,B-VP,O,O
vn-35,giáo_viên,N,B-NP,O,O
vn-35,dạy,V,B-VP,O,O
vn-35,môn,V,B-NP,O,O
vn-35,toán,N,I-NP,O,O
vn-35,tại,E,B-PP,O,O
vn-35,trường,N,B-NP,ORG,O
vn-35,Trung_học,Np,I-NP,ORG,O
vn-35,Phổ_thông,Np,I-NP,ORG,O
vn-35,.,CH,O,O,O

vn-36,Cô,N,B-NP,O,O
vn-36,Trà,Np,I-NP,B-PER,O
vn-36,là,V,B-VP,O,O
vn-36,giáo_viên,N,B-NP,O,O
vn-36,dạy,V,B-VP,O,O
vn-36,môn,V,B-NP,O,O
vn-36,văn,N,I-NP,O,O
vn-36,tại,E,B-PP,O,O
vn-36,trường,N,B-NP,ORG,O
vn-36,Trung_học,Np,I-NP,ORG,O
vn-36,Phổ_thông,Np,I-NP,ORG,O
vn-36,.,CH,O,O,O

vn-37,Anh,N,B-NP,O,O
vn-37,Phạm,Np,I-NP,B-PER,O
vn-37,là,V,B-VP,O,O
vn-37,thợ_máy,N,B-NP,O,O
vn-37,làm,V,B-VP,O,O
vn-37,viên_chức,N,B-NP,O,O
vn-37,tại,E,B-PP,O,O
vn-37,công_ty,N,B-NP,ORG,O
vn-37,Apple,Np,I-NP,ORG,O
vn-37,.,CH,O,O,O

vn-38,Cô,N,B-NP,O,O
vn-38,Thu,Np,I-NP,B-PER,O
vn-38,là,V,B-VP,O,O
vn-38,giáo_viên,N,B-NP,O,O
vn-38,dạy,V,B-VP,O,O
vn-38,môn,V,B-NP,O,O
vn-38,lý,N,I-NP,O,O
vn-38,tại,E,B-PP,O,O
vn-38,trường,N,B-NP,ORG,O
vn-38,Trung_học,Np,I-NP,ORG,O
vn-38,Phổ_thông,Np,I-NP,ORG,O
vn-38,.,CH,O,O,O

vn-39,Ông,N,B-NP,O,O
vn-39,Hoài,Np,I-NP,B-PER,O
vn-39,là,V,B-VP,O,O
vn-39,giám_đốc,N,B-NP,O,O
vn-39,của,E,B-PP,O,O
vn-39,công_ty,N,B-NP,ORG,O
vn-39,Vinamilk,Np,I-NP,ORG,O
vn-39,.,CH,O,O,O

vn-40,Cô,N,B-NP,O,O
vn-40,Hoa,Np,I-NP,B-PER,O
vn-40,là,V,B-VP,O,O
vn-40,giáo_viên,N,B-NP,O,O
vn-40,dạy,V,B-VP,O,O
vn-40,môn,V,B-NP,O,O
vn-40,toán,N,I-NP,O,O
vn-40,tại,E,B-PP,O,O
vn-40,trường,N,B-NP,ORG,O
vn-40,Trung_học,Np,I-NP,ORG,O
vn-40,Phổ_thông,Np,I-NP,ORG,O
vn-40,.,CH,O,O,O

vn-41,Anh,N,B-NP,O,O
vn-41,Dương,Np,I-NP,B-PER,O
vn-41,là,V,B-VP,O,O
vn-41,kỹ_sư,N,B-NP,O,O
vn-41,làm,V,B-VP,O,O
vn-41,viên_chức,N,B-NP,O,O
vn-41,tại,E,B-PP,O,O
vn-41,công_ty,N,B-NP,ORG,O
vn-41,Samsung,Np,I-NP,ORG,O
vn-41,.,CH,O,O,O

vn-42,Cô,N,B-NP,O,O
vn-42,Minh,Np,I-NP,B-PER,O
vn-42,là,V,B-VP,O,O
vn-42,giáo_viên,N,B-NP,O,O
vn-42,dạy,V,B-VP,O,O
vn-42,môn,V,B-NP,O,O
vn-42,văn,N,I-NP,O,O
vn-42,tại,E,B-PP,O,O
vn-42,trường,N,B-NP,ORG,O
vn-42,Trung_học,Np,I-NP,ORG,O
vn-42,Phổ_thông,Np,I-NP,ORG,O
vn-42,.,CH,O,O,O

vn-43,Ông,N,B-NP,O,O
vn-43,Đạt,Np,I-NP,B-PER,O
vn-43,là,V,B-VP,O,O
vn-43,kỹ_sư,N,B-NP,O,O
vn-43,của,E,B-PP,O,O
vn-43,công_ty,N,B-NP,ORG,O
vn-43,Vingroup,Np,I-NP,ORG,O
vn-43,.,CH,O,O,O

vn-44,Cô,N,B-NP,O,O
vn-44,Thảo,Np,I-NP,B-PER,O
vn-44,là,V,B-VP,O,O
vn-44,giáo_viên,N,B-NP,O,O
vn-44,dạy,V,B-VP,O,O
vn-44,môn,V,B-NP,O,O
vn-44,toán,N,I-NP,O,O
vn-44,tại,E,B-PP,O,O
vn-44,trường,N,B-NP,ORG,O
vn-44,Trung_học,Np,I-NP,ORG,O
vn-44,Phổ_thông,Np,I-NP,ORG,O
vn-44,.,CH,O,O,O

vn-45,Anh,N,B-NP,O,O
vn-45,Đức,Np,I-NP,B-PER,O
vn-45,là,V,B-VP,O,O
vn-45,thợ_máy,N,B-NP,O,O
vn-45,làm,V,B-VP,O,O
vn-45,viên_chức,N,B-NP,O,O
vn-45,tại,E,B-PP,O,O
vn-45,công_ty,N,B-NP,ORG,O
vn-45,Apple,Np,I-NP,ORG,O
vn-45,.,CH,O,O,O

vn-46,Cô,N,B-NP,O,O
vn-46,Quỳnh,Np,I-NP,B-PER,O
vn-46,là,V,B-VP,O,O
vn-46,giáo_viên,N,B-NP,O,O
vn-46,dạy,V,B-VP,O,O
vn-46,môn,V,B-NP,O,O
vn-46,lý,N,I-NP,O,O
vn-46,tại,E,B-PP,O,O
vn-46,trường,N,B-NP,ORG,O
vn-46,Trung_học,Np,I-NP,ORG,O
vn-46,Phổ_thông,Np,I-NP,ORG,O
vn-46,.,CH,O,O,O

vn-47,Ông,N,B-NP,O,O
vn-47,Khang,Np,I-NP,B-PER,O
vn-47,là,V,B-VP,O,O
vn-47,giám_đốc,N,B-NP,O,O
vn-47,của,E,B-PP,O,O
vn-47,công_ty,N,B-NP,ORG,O
vn-47,Vinamilk,Np,I-NP,ORG,O
vn-47,.,CH,O,O,O

vn-48,Cô,N,B-NP,O,O
vn-48,Ngân,Np,I-NP,B-PER,O
vn-48,là,V,B-VP,O,O
vn-48,giáo_viên,N,B-NP,O,O
vn-48,dạy,V,B-VP,O,O
vn-48,môn,V,B-NP,O,O
vn-48,toán,N,I-NP,O,O
vn-48,tại,E,B-PP,O,O
vn-48,trường,N,B-NP,ORG,O
vn-48,Trung_học,Np,I-NP,ORG,O
vn-48,Phổ_thông,Np,I-NP,ORG,O
vn-48,.,CH,O,O,O

vn-49,Anh,N,B-NP,O,O
vn-49,Hào,Np,I-NP,B-PER,O
vn-49,là,V,B-VP,O,O
vn-49,kỹ_sư,N,B-NP,O,O
vn-49,làm,V,B-VP,O,O
vn-49,viên_chức,N,B-NP,O,O
vn-49,tại,E,B-PP,O,O
vn-49,công_ty,N,B-NP,ORG,O
vn-49,Samsung,Np,I-NP,ORG,O
vn-49,.,CH,O,O,O

vn-50,Cô,N,B-NP,O,O
vn-50,Thư,Np,I-NP,B-PER,O
vn-50,là,V,B-VP,O,O
vn-50,giáo_viên,N,B-NP,O,O
vn-50,dạy,V,B-VP,O,O
vn-50,môn,V,B-NP,O,O
vn-50,văn,N,I-NP,O,O
vn-50,tại,E,B-PP,O,O
vn-50,trường,N,B-NP,ORG,O
vn-50,Trung_học,Np,I-NP,ORG,O
vn-50,Phổ_thông,Np,I-NP,ORG,O
vn-50,.,CH,O,O,O

vn-51,Ông,N,B-NP,O,O
vn-51,Hùng,Np,I-NP,B-PER,O
vn-51,là,V,B-VP,O,O
vn-51,giám_đốc,N,B-NP,O,O
vn-51,của,E,B-PP,O,O
vn-51,công_ty,N,B-NP,ORG,O
vn-51,Vingroup,Np,I-NP,ORG,O
vn-51,.,CH,O,O,O

vn-52,Cô,N,B-NP,O,O
vn-52,Linh,Np,I-NP,B-PER,O
vn-52,là,V,B-VP,O,O
vn-52,giáo_viên,N,B-NP,O,O
vn-52,dạy,V,B-VP,O,O
vn-52,môn,V,B-NP,O,O
vn-52,toán,N,I-NP,O,O
vn-52,tại,E,B-PP,O,O
vn-52,trường,N,B-NP,ORG,O
vn-52,Trung_học,Np,I-NP,ORG,O
vn-52,Phổ_thông,Np,I-NP,ORG,O
vn-52,.,CH,O,O,O

vn-53,Anh,Np,B-NP,O,O
vn-53,là,V,B-VP,O,O
vn-53,sinh_viên,N,B-NP,O,O
vn-53,của,E,B-PP,O,O
vn-53,trường,N,B-NP,ORG,O
vn-53,Đại_học,Np,I-NP,ORG,O
vn-53,Bách_khoa,Np,I-NP,ORG,O
vn-53,Hà_Nội,Np,I-NP,GPE,O
vn-53,và,C,C-O,O,O
vn-53,đang,V,B-VP,O,O
vn-53,được,V,B-VP,O,O
vn-53,học,V,B-VP,O,O
vn-53,chuyên_ngành,N,I-NP,O,O
vn-53,Công_nghệ,Np,I-NP,O,O
vn-53,Thông_tin,Np,I-NP,O,O
vn-53,.,CH,O,O,O

vn-53,Nguyễn,Np,B-NP,B-PER,O
vn-53,Văn,Np,I-NP,I-PER,O
vn-53,đã,V,B-VP,O,O
vn-53,được,V,B-VP,O,O
vn-53,chọn,V,B-VP,O,O
vn-53,làm,V,B-VP,O,O
vn-53,trợ_lý,N,B-NP,O,O
vn-53,cho,E,B-PP,O,O
vn-53,giáo_viên,N,B-NP,O,O
vn-53,hướng_dẫn,V,B-VP,O,O
vn-53,nghiên_cứu,N,B-NP,O,O
vn-53,về,E,B-PP,O,O
vn-53,khoa_học,N,B-NP,O,O
vn-53,dữ_liệu,N,B-NP,O,O
vn-53,.,CH,O,O,O

vn-54,Bà,N,B-NP,O,O
vn-54,Trà,Np,I-NP,B-PER,O
vn-54,Thị,N,I-NP,I-PER,O
vn-54,Thúy,Np,I-NP,I-PER,O
vn-54,Diễm,Np,I-NP,I-PER,O
vn-54,–,CH,O,O,O
vn-54,Thư_ký,N,B-NP,O,O
vn-54,Tòa_án,N,B-NP,ORG,O
vn-54,nhân_dân,N,B-NP,ORG,O
vn-54,Quận_10,N,I-NP,LOC,O
vn-54,Thành_phố,N,I-NP,LOC,I-LOC
vn-54,Hồ_Chí_Minh,Np,I-NP,LOC,I-LOC
vn-54,.,CH,O,O,O

vn-55,Ông,N,B-NP,O,O
vn-55,Tô,Np,I-NP,B-PER,O
vn-55,Bình,Np,I-NP,I-PER,O
vn-55,Phát,Np,I-NP,I-PER,O
vn-55,,,O,O,O
vn-55,sinh,V,B-VP,O,O
vn-55,năm,N,B-NP,O,O
vn-55,1950,M,I-NP,O,O
vn-55,.,CH,O,O,O
vn-55,(,CH,O,O,O
vn-55,Có,V,B-VP,O,O
vn-55,mặt,N,B-NP,O,O
vn-55,),CH,O,O,O

vn-56,Bà,N,B-NP,O,O
vn-56,Nguyễn,Np,I-NP,B-PER,O
vn-56,Thị,N,I-NP,I-PER,O
vn-56,Thu,N,I-NP,I-PER,O
vn-56,Nga,Np,I-NP,I-PER,O
vn-56,(,CH,O,O,O
vn-56,Có,V,B-VP,O,O
vn-56,đơn,N,B-NP,O,O
vn-56,xin,V,B-VP,O,O
vn-56,vắng,N,B-PP,O,O
vn-56,mặt,N,B-NP,O,O
vn-56,),CH,O,O,O

vn-57,Ông,N,B-NP,O,O
vn-57,Nguyễn,Np,I-NP,B-PER,O
vn-57,Tấn,N,I-NP,I-PER,O
vn-57,Mỹ,Np,I-NP,I-PER,O
vn-57,,CH,O,O,O
vn-57,sinh,V,B-VP,O,O
vn-57,năm,N,B-NP,O,O
vn-57,1964,M,I-NP,O,O
vn-57,.,CH,O,O,O
vn-57,(,CH,O,O,O
vn-57,Có,V,B-VP,O,O
vn-57,đơn,N,B-NP,O,O
vn-57,xin,V,B-VP,O,O
vn-57,vắng,N,B-PP,O,O
vn-57,mặt,N,B-NP,O,O
vn-57,),CH,O,O,O

vn-58,Nơi,N,B-NP,O,O
vn-58,công_tác,V,B-VP,O,O
vn-58:,CH,O,O,O
vn-58,Phòng,N,B-NP,O,O
vn-58,Tài_nguyên,N,I-NP,O,O
vn-58,và,C,C,O,O
vn-58,Môi_trường,N,I-NP,O,O
vn-58,Quận,N,B-NP,ORG,O
vn-58,10,M,I-NP,ORG,O

vn-59,Ông,N,B-NP,O,O
vn-59,Tô,Np,I-NP,B-PER,O
vn-59,Ngân,Np,I-NP,I-PER,O
vn-59,Chen,Np,I-NP,I-PER,O
vn-59,,CH,O,O,O
vn-59,chết,V,B-VP,O,O
vn-59,năm,N,B-NP,O,O
vn-59,2011,M,I-NP,O,O

vn-60,Bà,N,B-NP,O,O
vn-60,Thạch,Np,I-NP,B-PER,O
vn-60,Phôi,Np,I-NP,I-PER,O
vn-60,Phân,Np,I-NP,I-PER,O
vn-60,,CH,O,O,O
vn-60,sinh,V,B-VP,O,O
vn-60,năm,N,B-NP,O,O
vn-60,1933,M,I-NP,O,O

vn-61,-,CH,O,O,O
vn-61,Bà,N,B-NP,O,O
vn-61,Võ,Np,I-NP,B-PER,O
