index,word,pos_tag,chunk_tag,ne_label,nested_ne_label
129,ở,E,B-PP,O,O
130,thành_phố,N,B-NP,B-LOC,O
131,Nha_Trang,Np,I-NP,I-LOC,O
132,.,CH,O,O,O
133,Hai,CD,B-NP,O,O
134,cô,N,B-NP,O,O
135,gái,N,I-NP,O,O
136,trẻ,N,I-NP,O,O
137,đang,R,B-VP,O,O
138,ngồi,V,B-VP,O,O
139,uống,V,I-VP,O,O
140,trà,N,B-NP,O,O
141,tại,E,B-PP,O,O
142,quán,N,B-NP,B-LOC,O
143,trà,Np,I-NP,I-LOC,O
144,cách,E,B-PP,O,O
145,ngã,N,B-NP,B-LOC,O
146,Hà_Nội,Np,I-NP,I-LOC,O
147,.,CH,O,O,O
148,Tôi,P,N,B-NP,O
149,đã,R,B-VP,O,O
150,hoàn_tất,V,B-VP,O,O
151,công_việc,N,B-NP,O,O
152,và,C,B-CC,O,O
153,sẽ,R,B-VP,O,O
154,đi,V,B-VP,O,O
155,du_lịch,V,I-VP,O,O
156,ở,E,B-PP,O,O
157,đất_Nước,N,B-NP,B-LOC,O
158,Úc,Np,I-NP,I-LOC,O
159,.,CH,O,O,O
160,Anh,N,B-NP,O,O
161,Tuấn,Np,I-NP,B-PER,O
162,là,V,B-VP,O,O
163,người,N,B-NP,O,O
164,hướng_dẫn_viên,N,I-NP,O,O
165,cho,E,B-PP,O,O
166,đoàn_khách,N,B-NP,O,O
167,đến,V,B-VP,O,O
168,thăm,V,B-VP,O,O
169,đền,N,B-NP,B-LOC,O
170,Phật,Np,I-NP,I-LOC,O
171,Bà,Np,I-NP,I-LOC,O
172,.,CH,O,O,O
173,Ngôi_nhà,N,B-NP,O,O
174,của,E,B-PP,O,O
175,anh,N,B-NP,O,O
176,Tùng,Np,I-NP,B-PER,O
177,rất,R,B-ADVP,O,O
178,đẹp,A,B-AP,O,O
179,và,C,B-CC,O,O
180,sang_trọng,A,B-AP,O,O
181,.,CH,O,O,O
182,Bà,N,B-NP,O,O
183,Hương,Np,I-NP,B-PER,O
184,là,V,B-VP,O,O
185,chủ_nhà,N,B-NP,O,O
186,của,E,B-PP,O,O
187,quán,N,B-NP,O,O
188,ăn,N,I-NP,O,O
189,ở,E,B-PP,O,O
190,trung_tâm,N,B-NP,B-LOC,O
191,thành_phố,N,I-NP,I-LOC,O
192,.,CH,O,O,O
193,Tôi,P,N,B-NP,O
194,đã,R,B-VP,O,O
195,đăng_ký,V,B-VP,O,O
196,học,V,I-VP,O,O
197,khóa_học,N,B-NP,O,O
198,tin_học,N,I-NP,O,O
199,tại,E,B-PP,O,O
200,trung_tâm,N,B-NP,B-ORG,O
201,đào_tạo,V,I-VP,I-ORG,O
202,CNTT,Np,I-NP,I-ORG,O
203,.,CH,O,O,O
204,Chiếc,N,B-NP,O,O
205,xe,N,I-NP,O,O
206,của,E,B-PP,O,O
207,anh,N,B-NP,O,O
208,Hải,Np,I-NP,B-PER,O
209,bị,V,B-VP,O,O
210,mất,V,I-VP,O,O
211,khi,C,B-CC,O,O
212,đi,V,B-VP,O,O
213,đến,E,B-PP,O,O
214,sân_bay,N,B-NP,B-LOC,O
215,Tân_Sơn_Nhất,Np,I-NP,I-LOC,O
216,.,CH,O,O,O
217,Bà,N,B-NP,O,O
218,Maria,Np,I-NP,B-PER,O
219,Fernandez,Np,I-NP,I-PER,O
220,là,V,B-VP,O,O
221,giáo_viên,N,B-NP,O,O
222,tại,E,B-PP,O,O
223,trường,N,B-NP,ORG,O
224,quốc_tế,A,I-AP,ORG,O
225,.,CH,O,O,O
226,Anh,N,B-NP,O,O
227,Thanh,Np,I-NP,B-PER,O
228,là,V,B-VP,O,O
229,cán_bộ,N,B-NP,O,O
230,Uỷ ban,N,B-NP,B-ORG,O
231,nhân_dân,N,I-NP,I-ORG,O
232,Thành_phố,N,I-NP,I-ORG,B-LOC
233,Hà_Nội,Np,I-NP,I-ORG,I-LOC
234,.,.,O,O,O
235,Ông,N,B-NP,O,O
236,Kimura,Np,I-NP,B-PER,O
237,là,V,B-VP,O,O
238,CEO,N,B-NP,O,O
239,của,E,B-PP,O,O
240,công_ty,N,B-NP,ORG,O
241,Toyota,Np,I-NP,ORG,O
242,.,CH,O,O,O
243,Tôi,PN,B-NP,O,O
244,đã,R,B-VP,O,O
245,đến,V,B-VP,O,O
246,thăm,V,B-VP,O,O
247,bà,N,B-NP,O,O
248,Ngọc,Np,I-NP,B-PER,O
249,tại,E,B-PP,O,O
250,bệnh_viện,N,B-NP,LOC,O
251,.,CH,O,O,O
252,Các,L,B-NP,O,O
253,nhà,N,I-NP,O,O
254,khoa_học,N,I-NP,O,O
255,đang,R,B-VP,O,O
256,nghiên_cứu,V,B-VP,O,O
257,về,E,B-PP,O,O
258,vaccine,N,B-NP,O,O
259,COVID-19,N,I-NP,MISC,O
260,.,CH,O,O,O
261,Tôi,P,N,B-NP,O
262,muốn,V,B-VP,O,O
263,mua,V,B-VP,O,O
264,một,M,B-NP,O,O
265,chiếc,N,I-NP,O,O
266,xe,N,I-NP,O,O
267,hơi,N,I-NP,O,O
268,của,E,B-PP,O,O
269,hãng,N,B-NP,ORG,O
270,BMW,Np,I-NP,ORG,O
271,.,CH,O,O,O
272,Ông,N,B-NP,O,O
273,Dũng,Np,I-NP,B-PER,O
274,là,V,B-VP,O,O
275,tổng_giám_đốc,N,B-NP,O,O
276,của,E,B-PP,O,O
277,công_ty,N,B-NP,ORG,O
278,VinGroup,Np,I-NP,ORG,O
279,.,CH,O,O,O
280,Cô,N,B-NP,O,O
281,Nguyệt,Np,I-NP,B-PER,O
282,là,V,B-VP,O,O
283,giáo_viên,N,B-NP,O,O
284,dạy,V,B-VP,O,O
285,môn,V,B-NP,O,O
286,ngữ_văn,N,I-NP,O,O
287,tại,E,B-PP,O,O
288,trường,N,B-NP,ORG,O
289,Trung_học,Np,I-NP,ORG,O
290,Phổ_thông,Np,I-NP,ORG,O
291,.,CH,O,O,O
292,Anh,N,B-NP,O,O
293,Hòa,Np,I-NP,B-PER,O
294,là,V,B-VP,O,O
295,kỹ_sư,N,B-NP,O,O
296,làm,V,B-VP,O,O
297,viên_chức,N,B-NP,O,O
298,tại,E,B-PP,O,O
299,công_ty,N,B-NP,ORG,O
300,Viettel,Np,I-NP,ORG,O
301,.,CH,O,O,O
302,Cô,N,B-NP,O,O
303,Thảo,Np,I-NP,B-PER,O
304,là,V,B-VP,O,O
305,giáo_viên,N,B-NP,O,O
306,dạy,V,B-VP,O,O
307,môn,V,B-NP,O,O
308,toán,N,I-NP,O,O
309,tại,E,B-PP,O,O
310,trường,N,B-NP,ORG,O
311,Trung_học,Np,I-NP,ORG,O
312,Phổ_thông,Np,I-NP,ORG,O
313,.,CH,O,O,O
314,Ông,N,B-NP,O,O
315,Hùng,Np,I-NP,B-PER,O
316,là,V,B-VP,O,O
317,giám_đốc,N,B-NP,O,O
318,của,E,B-PP,O,O
319,công_ty,N,B-NP,ORG,O
320,Samsung,Np,I-NP,ORG,O
321,.,CH,O,O,O
322,Cô,N,B-NP,O,O
323,Ngọc,Np,I-NP,B-PER,O
324,là,V,B-VP,O,O
325,bác_sĩ,N,B-NP,O,O
326,chuyên_khoa,N,I-NP,O,O
327,gây_mê,N,B-NP,O,O
328,tại,E,B-PP,O,O
329,bệnh_viện,N,B-NP,ORG,O
330,Đa_khoa,Np,I-NP,ORG,O
331,Bạch_Mai,Np,I-NP,ORG,O
332,.,CH,O,O,O
333,Trường,N,B-NP,O,O
334,Đại_học,Np,I-NP,ORG,O
335,Bách_khoa,Np,I-NP,ORG,O
336,là,V,B-VP,O,O
337,trường,N,B-NP,O,O
338,đào_tạo,V,B-VP,O,O
339,các,L,B-NP,O,O
340,kỹ_sư,N,B-NP,O,O
341,cơ_khí,N,I-NP,O,O
342,.,CH,O,O,O
343,Anh,N,B-NP,O,O
344,Hòa,Np,I-NP,B-PER,O
345,là,V,B-VP,O,O
346,kỹ_sư,N,B-NP,O,O
347,làm,V,B-VP,O,O
348,viên_chức,N,B-NP,O,O
349,tại,E,B-PP,O,O
350,công_ty,N,B-NP,ORG,O
351,Vingroup,Np,I-NP,ORG,O
352,.,CH,O,O,O
353,Cô,N,B-NP,O,O
354,Nguyên,Np,I-NP,B-PER,O
355,là,V,B-VP,O,O
356,giáo_viên,N,B-NP,O,O
357,dạy,V,B-VP,O,O
358,môn,V,B-NP,O,O
359,toán,N,I-NP,O,O
360,tại,E,B-PP,O,O
361,trường,N,B-NP,ORG,O
362,Trung_học,Np,I-NP,ORG,O
363,Phổ_thông,Np,I-NP,ORG,O
364,.,CH,O,O,O
365,Cô,N,B-NP,O,O
366,Trà,Np,I-NP,B-PER,O
367,là,V,B-VP,O,O
368,giáo_viên,N,B-NP,O,O
369,dạy,V,B-VP,O,O
370,môn,V,B-NP,O,O
371,văn,N,I-NP,O,O
372,tại,E,B-PP,O,O
373,trường,N,B-NP,ORG,O
374,Trung_học,Np,I-NP,ORG,O
375,Phổ_thông,Np,I-NP,ORG,O
376,.,CH,O,O,O
377,Anh,N,B-NP,O,O
378,Phạm,Np,I-NP,B-PER,O
379,là,V,B-VP,O,O
380,thợ_máy,N,B-NP,O,O
381,làm,V,B-VP,O,O
382,viên_chức,N,B-NP,O,O
383,tại,E,B-PP,O,O
384,công_ty,N,B-NP,ORG,O
385,Apple,Np,I-NP,ORG,O
386,.,CH,O,O,O
387,Cô,N,B-NP,O,O
388,Thu,Np,I-NP,B-PER,O
389,là,V,B-VP,O,O
390,giáo_viên,N,B-NP,O,O
391,dạy,V,B-VP,O,O
392,môn,V,B-NP,O,O
393,lý,N,I-NP,O,O
394,tại,E,B-PP,O,O
395,trường,N,B-NP,ORG,O
396,Trung_học,Np,I-NP,ORG,O
397,Phổ_thông,Np,I-NP,ORG,O
398,.,CH,O,O,O
399,Ông,N,B-NP,O,O
400,Hoài,Np,I-NP,B-PER,O
401,là,V,B-VP,O,O
402,giám_đốc,N,B-NP,O,O
403,của,E,B-PP,O,O
404,công_ty,N,B-NP,ORG,O
405,Vinamilk,Np,I-NP,ORG,O
406,.,CH,O,O,O
407,Cô,N,B-NP,O,O
408,Hoa,Np,I-NP,B-PER,O
409,là,V,B-VP,O,O
410,giáo_viên,N,B-NP,O,O
411,dạy,V,B-VP,O,O
412,môn,V,B-NP,O,O
413,toán,N,I-NP,O,O
414,tại,E,B-PP,O,O
415,trường,N,B-NP,ORG,O
416,Trung_học,Np,I-NP,ORG,O
417,Phổ_thông,Np,I-NP,ORG,O
418,.,CH,O,O,O
419,Anh,N,B-NP,O,O
420,Dương,Np,I-NP,B-PER,O
421,là,V,B-VP,O,O
422,kỹ_sư,N,B-NP,O,O
423,làm,V,B-VP,O,O
424,viên_chức,N,B-NP,O,O
425,tại,E,B-PP,O,O
426,công_ty,N,B-NP,ORG,O
427,Samsung,Np,I-NP,ORG,O
428,.,CH,O,O,O
429,Cô,N,B-NP,O,O
430,Minh,Np,I-NP,B-PER,O
431,là,V,B-VP,O,O
432,giáo_viên,N,B-NP,O,O
433,dạy,V,B-VP,O,O
434,môn,V,B-NP,O,O
435,văn,N,I-NP,O,O
436,tại,E,B-PP,O,O
437,trường,N,B-NP,ORG,O
438,Trung_học,Np,I-NP,ORG,O
439,Phổ_thông,Np,I-NP,ORG,O
440,.,CH,O,O,O
441,Ông,N,B-NP,O,O
442,Đạt,Np,I-NP,B-PER,O
443,là,V,B-VP,O,O
444,kỹ_sư,N,B-NP,O,O
445,của,E,B-PP,O,O
446,công_ty,N,B-NP,ORG,O
447,Vingroup,Np,I-NP,ORG,O
448,.,CH,O,O,O
449,Cô,N,B-NP,O,O
450,Thảo,Np,I-NP,B-PER,O
451,là,V,B-VP,O,O
452,giáo_viên,N,B-NP,O,O
453,dạy,V,B-VP,O,O
454,môn,V,B-NP,O,O
455,toán,N,I-NP,O,O
456,tại,E,B-PP,O,O
457,trường,N,B-NP,ORG,O
458,Trung_học,Np,I-NP,ORG,O
459,Phổ_thông,Np,I-NP,ORG,O
460,.,CH,O,O,O
461,Anh,N,B-NP,O,O
462,Đức,Np,I-NP,B-PER,O
463,là,V,B-VP,O,O
464,thợ_máy,N,B-NP,O,O
465,làm,V,B-VP,O,O
466,viên_chức,N,B-NP,O,O
467,tại,E,B-PP,O,O
468,công_ty,N,B-NP,ORG,O
469,Apple,Np,I-NP,ORG,O
470,.,CH,O,O,O
471,Cô,N,B-NP,O,O
472,Quỳnh,Np,I-NP,B-PER,O
473,là,V,B-VP,O,O
474,giáo_viên,N,B-NP,O,O
475,dạy,V,B-VP,O,O
476,môn,V,B-NP,O,O
477,lý,N,I-NP,O,O
478,tại,E,B-PP,O,O
479,trường,N,B-NP,ORG,O
480,Trung_học,Np,I-NP,ORG,O
481,Phổ_thông,Np,I-NP,ORG,O
482,.,CH,O,O,O
483,Ông,N,B-NP,O,O
484,Khang,Np,I-NP,B-PER,O
485,là,V,B-VP,O,O
486,giám_đốc,N,B-NP,O,O
487,của,E,B-PP,O,O
488,công_ty,N,B-NP,ORG,O
489,Vinamilk,Np,I-NP,ORG,O
490,.,CH,O,O,O
491,Cô,N,B-NP,O,O
492,Ngân,Np,I-NP,B-PER,O
493,là,V,B-VP,O,O
494,giáo_viên,N,B-NP,O,O
495,dạy,V,B-VP,O,O
496,môn,V,B-NP,O,O
497,toán,N,I-NP,O,O
498,tại,E,B-PP,O,O
499,trường,N,B-NP,ORG,O
500,Trung_học,Np,I-NP,ORG,O
501,Phổ_thông,Np,I-NP,ORG,O
502,.,CH,O,O,O
503,Anh,N,B-NP,O,O
504,Hào,Np,I-NP,B-PER,O
505,là,V,B-VP,O,O
506,kỹ_sư,N,B-NP,O,O
507,làm,V,B-VP,O,O
508,viên_chức,N,B-NP,O,O
509,tại,E,B-PP,O,O
510,công_ty,N,B-NP,ORG,O
511,Samsung,Np,I-NP,ORG,O
512,.,CH,O,O,O
513,Cô,N,B-NP,O,O
514,Thư,Np,I-NP,B-PER,O
515,là,V,B-VP,O,O
516,giáo_viên,N,B-NP,O,O
517,dạy,V,B-VP,O,O
518,môn,V,B-NP,O,O
519,văn,N,I-NP,O,O
520,tại,E,B-PP,O,O
521,trường,N,B-NP,ORG,O
522,Trung_học,Np,I-NP,ORG,O
523,Phổ_thông,Np,I-NP,ORG,O
524,.,CH,O,O,O
525,Ông,N,B-NP,O,O
526,Hùng,Np,I-NP,B-PER,O
527,là,V,B-VP,O,O
528,giám_đốc,N,B-NP,O,O
529,của,E,B-PP,O,O
530,công_ty,N,B-NP,ORG,O
531,Vingroup,Np,I-NP,ORG,O
532,.,CH,O,O,O
533,Cô,N,B-NP,O,O
534,Linh,Np,I-NP,B-PER,O
535,là,V,B-VP,O,O
536,giáo_viên,N,B-NP,O,O
537,dạy,V,B-VP,O,O
538,môn,V,B-NP,O,O
539,toán,N,I-NP,O,O
540,tại,E,B-PP,O,O
541,trường,N,B-NP,ORG,O
542,Trung_học,Np,I-NP,ORG,O
543,Phổ_thông,Np,I-NP,ORG,O
544,.,CH,O,O,O
545,Anh,Np,B-NP,O,O
546,là,V,B-VP,O,O
547,sinh_viên,N,B-NP,O,O
548,của,E,B-PP,O,O
549,trường,N,B-NP,ORG,O
550,Đại_học,Np,I-NP,ORG,O
551,Bách_khoa,Np,I-NP,ORG,O
552,Hà_Nội,Np,I-NP,GPE,O
553,và,C,C-O,O,O
554,đang,V,B-VP,O,O
555,được,V,B-VP,O,O
556,học,V,B-VP,O,O
557,chuyên_ngành,N,I-NP,O,O
558,Công_nghệ,Np,I-NP,O,O
559,Thông_tin,Np,I-NP,O,O
560,.,CH,O,O,O
561,Nguyễn,Np,B-NP,B-PER,O
562,Văn,Np,I-NP,I-PER,O
563,đã,V,B-VP,O,O
564,được,V,B-VP,O,O
565,chọn,V,B-VP,O,O
566,làm,V,B-VP,O,O
567,trợ_lý,N,B-NP,O,O
568,cho,E,B-PP,O,O
569,giáo_viên,N,B-NP,O,O
570,hướng_dẫn,V,B-VP,O,O
571,nghiên_cứu,N,B-NP,O,O
572,về,E,B-PP,O,O
573,khoa_học,N,B-NP,O,O
574,dữ_liệu,N,B-NP,O,O
575,.,CH,O,O,O
576,Bà,N,B-NP,O,O
577,Trà,Np,I-NP,B-PER,O
578,Thị,N,I-NP,I-PER,O
579,Thúy,Np,I-NP,I-PER,O
580,Diễm,Np,I-NP,I-PER,O
581,–,CH,O,O,O
582,Thư_ký,N,B-NP,O,O
583,Tòa_án,N,B-NP,ORG,O
584,nhân_dân,N,B-NP,ORG,O
585,Quận_10,N,I-NP,LOC,O
586,Thành_phố,N,I-NP,LOC,I-LOC
587,Hồ_Chí_Minh,Np,I-NP,LOC,I-LOC
588,.,CH,O,O,O
589,Ông,N,B-NP,O,O
590,Tô,Np,I-NP,B-PER,O
591,Bình,Np,I-NP,I-PER,O
592,Phát,Np,I-NP,I-PER,O
594,sinh,V,B-VP,O,O
595,năm,N,B-NP,O,O
596,1950,M,I-NP,O,O
597,.,CH,O,O,O
598,(,CH,O,O,O
599,Có,V,B-VP,O,O
600,mặt,N,B-NP,O,O
601,),CH,O,O,O
602,Bà,N,B-NP,O,O
603,Nguyễn,Np,I-NP,B-PER,O
604,Thị,N,I-NP,I-PER,O
605,Thu,N,I-NP,I-PER,O
606,Nga,Np,I-NP,I-PER,O
607,(,CH,O,O,O
608,Có,V,B-VP,O,O
609,đơn,N,B-NP,O,O
610,xin,V,B-VP,O,O
611,vắng,N,B-PP,O,O
612,mặt,N,B-NP,O,O
613,),CH,O,O,O
614,Ông,N,B-NP,O,O
615,Nguyễn,Np,I-NP,B-PER,O
616,Tấn,N,I-NP,I-PER,O
617,Mỹ,Np,I-NP,I-PER,O
619,sinh,V,B-VP,O,O
620,năm,N,B-NP,O,O
621,1964,M,I-NP,O,O
622,.,CH,O,O,O
623,(,CH,O,O,O
624,Có,V,B-VP,O,O
625,đơn,N,B-NP,O,O
626,xin,V,B-VP,O,O
627,vắng,N,B-PP,O,O
628,mặt,N,B-NP,O,O
629,),CH,O,O,O
630,Nơi,N,B-NP,O,O
631,công_tác,V,B-VP,O,O
633,Phòng,N,B-NP,O,O
634,Tài_nguyên,N,I-NP,O,O
635,và,C,C,O,O
636,Môi_trường,N,I-NP,O,O
637,Quận,N,B-NP,ORG,O
638,10,M,I-NP,ORG,O
639,Ông,N,B-NP,O,O
640,Tô,Np,I-NP,B-PER,O
641,Ngân,Np,I-NP,I-PER,O
642,Chen,Np,I-NP,I-PER,O
644,chết,V,B-VP,O,O
645,năm,N,B-NP,O,O
646,2011,M,I-NP,O,O
647,Bà,N,B-NP,O,O
648,Thạch,Np,I-NP,B-PER,O
649,Phôi,Np,I-NP,I-PER,O
650,Phân,Np,I-NP,I-PER,O
652,sinh,V,B-VP,O,O
653,năm,N,B-NP,O,O
654,1933,M,I-NP,O,O
655,-,CH,O,O,O
656,Bà,N,B-NP,O,O
657,Võ,Np,I-NP,B-PER,O
658,Thị,N,I-NP,I-PER,O
659,Yến,Np,I-NP,I-PER,O
660,(,CH,O,O,O
661,Có,V,B-VP,O,O
662,đơn,N,B-NP,O,O
663,xin,V,B-VP,O,O
664,vắng,N,B-PP,O,O
665,mặt,N,B-NP,O,O
666,),CH,O,O,O
667,-,CH,O,O,O
668,Ông,N,B-NP,O,O
669,Tô,Np,I-NP,B-PER,O
670,Đức,Np,I-NP,I-PER,O
671,Phúc,Np,I-NP,I-PER,O
672,(,CH,O,O,O
673,Có,V,B-VP,O,O
674,đơn,N,B-NP,O,O
675,xin,V,B-VP,O,O
676,vắng,N,B-PP,O,O
677,mặt,N,B-NP,O,O
678,),CH,O,O,O
679,-,CH,O,O,O
680,Bà,N,B-NP,O,O
681,Tô,Np,I-NP,B-PER,O
682,Kim,Np,I-NP,I-PER,O
683,Hồng,Np,I-NP,I-PER,O
684,(,CH,O,O,O
685,Có,V,B-VP,O,O
686,đơn,N,B-NP,O,O
687,xin,V,B-VP,O,O
688,vắng,N,B-PP,O,O
689,mặt,N,B-NP,O,O
690,),CH,O,O,O
691,Cùng,V,B-NP,O,O
692,địa_chỉ,N,I-NP,O,O
694,365/76,M,I-NP,O,O
695,Lê_Nội,Np,I-NP,O,O
696,Quới,Np,I-NP,O,O
698,Phường,N,B-NP,O,O
699,Bình_Trị_Nguyên,A,I-AP,O,O
700,Đông,A,I-AP,O,O
703,Quận,N,B-NP,ORG,O
704,Bình_Tân,Np,I-NP,ORG,O
706,Thành_phố,N,B-NP,LOC,O
707,Hồ_Chí_Minh,Np,I-NP,LOC,O
708,căn,N,B-NP,O,O
709,nhà,N,B-NP,O,O
710,41/5/24,M,I-NP,O,O
711,Sư_Vạn_Hạnh,Np,I-NP,O,O
713,Phường,N,B-NP,O,O
714,3,M,I-NP,O,O
716,Quận,N,B-NP,O,O
717,10,M,I-NP,O,O
719,TP.,N,B-NP,LOC,O
720,Hồ_Chí_Minh,Np,I-NP,LOC,O
721,Bà,N,B-NP,B-PER,O
722,Tô,Np,I-NP,I-PER,O
723,Lệ,Np,I-NP,I-PER,O
724,Lệ,Np,I-NP,I-PER,O
725,;,CH,O,O,O
726,Tô,Np,I-NP,B-PER,O
727,Ngọc,Np,I-NP,I-PER,O
728,Mỹ,Np,I-NP,I-PER,O
729,;,CH,O,O,O
730,Tô,Np,I-NP,B-PER,O
731,Bảo,Np,I-NP,I-PER,O
732,Ngọc,Np,I-NP,I-PER,O
733,;,CH,O,O,O
734,Tô,Np,I-NP,I-PER,O
735,Bình_Ngọc,Np,I-NP,I-PER,O
736,Ngọc,Np,I-NP,I-PER,O
737,;,CH,O,O,O
738,Tô,Np,I-NP,I-PER,O
739,Bình,Np,I-NP,I-PER,O
740,Trinh,Np,I-NP,I-PER,O
741,;,CH,O,O,O
742,ông,N,B-NP,O,O
743,Tô,Np,I-NP,B-PER,O
744,Bình,Np,I-NP,I-PER,O
745,Phát,Np,I-NP,I-PER,O
746,(,CH,O,O,O
747,sinh,V,B-VP,O,O
748,năm,N,B-NP,O,O
749,1958,M,I-NP,O,O
751,mất,V,B-VP,O,O
752,năm,N,B-NP,O,O
753,2007,M,I-NP,O,O
754,có,V,B-VP,O,O
755,con,N,B-NP,O,O
756,là,V,B-VP,O,O
757,Tô,Np,I-NP,B-PER,O
758,Tuấn,Np,I-NP,I-PER,O
759,Hửu,Np,I-NP,I-PER,O
760,và,C,C,O,O
761,Tô,Np,I-NP,B-PER,O
762,My,Np,I-NP,I-PER,O
763,Na,Np,I-NP,I-PER,O
764,kế_thừa,V,B-VP,O,O
765,quyền,N,B-NP,O,O
767,nghĩa_vụ,N,B-NP,O,O
768,tố_tụng,V,B-VP,O,O
769,hành_chính,N,I-NP,O,O
770,Bà,N,B-NP,O,O
771,Tô,Np,I-NP,B-PER,O
772,Mỹ,Np,I-NP,I-PER,O
773,Yến,Np,I-NP,I-PER,O
775,Bà,N,B-NP,O,O
776,Tô,Np,I-NP,B-PER,O
777,Mỹ,Np,I-NP,I-PER,O
778,Châu,Np,I-NP,I-PER,O
780,Bà,N,B-NP,O,O
781,Tô,Np,I-NP,B-PER,O
782,Mỹ,Np,I-NP,I_PER,O
